date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:48:29	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2260786ecb-247b%22	https://pastaghigame.com/robots.txt		(from )
21:48:29	155702/155702	---M-Z	200	added ('OK')	text/html	etag:W/%22624b432b-26036%22	https://pastaghigame.com/	C:/Benim%20Web%20Sitem/sa/pastaghigame.com/index.html	(from )
21:48:29	1853/1853	---M--	200	added ('OK')	image/png	etag:%22624b432b-73d%22	https://pastaghigame.com/img.itch.zone/aW1nLzc3MDY2OTEucG5n/32x32%23/EYAaI0.png	C:/Benim%20Web%20Sitem/sa/pastaghigame.com/img.itch.zone/aW1nLzc3MDY2OTEucG5n/32x32#/EYAaI0.png	(from https://pastaghigame.com/)
21:48:30	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f1a48a3-247b%22	https://pastaghigame.com/pastaghi/devlog.rss	C:/Benim%20Web%20Sitem/sa/pastaghigame.com/pastaghi/devlog.rss	(from https://pastaghigame.com/)
21:48:30	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f73aee9-247b%22	https://pastaghigame.com/www.google-analytics.com/analytics.js	C:/Benim%20Web%20Sitem/sa/pastaghigame.com/www.google-analytics.com/analytics.js	(from https://pastaghigame.com/)
21:48:30	1403/1403	---M--	200	added ('OK')	text/javascript	date:Tue,%2022%20Oct%202019%2018:15:00%20GMT	https://www.google-analytics.com/plugins/ua/ecommerce.js	C:/Benim%20Web%20Sitem/sa/www.google-analytics.com/plugins/ua/ecommerce.js	(from https://pastaghigame.com/)
21:48:31	165073/165073	---M-Z	200	added ('OK')	text/css	etag:W/%22624b432b-284d1%22	https://pastaghigame.com/static.itch.io/game2c37.css?1648903292	C:/Benim%20Web%20Sitem/sa/pastaghigame.com/static.itch.io/game2c372c37.css	(from https://pastaghigame.com/)
21:48:31	125469/125469	---M-Z	200	added ('OK')	application/javascript	etag:W/%22624b432b-1ea1d%22	https://pastaghigame.com/static.itch.io/lib2c37.js?1648903292	C:/Benim%20Web%20Sitem/sa/pastaghigame.com/static.itch.io/lib2c372c37.js	(from https://pastaghigame.com/)
21:48:31	203136/203136	---M-Z	200	added ('OK')	application/javascript	etag:W/%22624b432b-31980%22	https://pastaghigame.com/static.itch.io/bundle.min2c37.js?1648903292	C:/Benim%20Web%20Sitem/sa/pastaghigame.com/static.itch.io/bundle.min2c372c37.js	(from https://pastaghigame.com/)
21:48:31	23081/23081	---M-Z	200	added ('OK')	application/javascript	etag:W/%22624b432b-5a29%22	https://pastaghigame.com/static.itch.io/lib/jquery.maskMoney.js	C:/Benim%20Web%20Sitem/sa/pastaghigame.com/static.itch.io/lib/jquery.maskMoney.js	(from https://pastaghigame.com/)
21:48:31	124999/124999	---M-Z	200	added ('OK')	application/javascript	etag:W/%22624b432b-1e847%22	https://pastaghigame.com/static.itch.io/game.min2c37.js?1648903292	C:/Benim%20Web%20Sitem/sa/pastaghigame.com/static.itch.io/game.min2c372c37.js	(from https://pastaghigame.com/)
21:48:33	1494118/1494118	---M--	200	added ('OK')	image/png	etag:%22624b432b-16cc66%22	https://pastaghigame.com/img.itch.zone/aW1nLzc2OTE2NTYucG5n/original/MA65Ob.png	C:/Benim%20Web%20Sitem/sa/pastaghigame.com/img.itch.zone/aW1nLzc2OTE2NTYucG5n/original/MA65Ob.png	(from https://pastaghigame.com/)
21:48:33	251/251	---M--	200	added ('OK')	image/png	etag:%22624b432b-fb%22	https://pastaghigame.com/img.itch.zone/aW1nLzc2OTE5OTgucG5n/original/mnFJnr.png	C:/Benim%20Web%20Sitem/sa/pastaghigame.com/img.itch.zone/aW1nLzc2OTE5OTgucG5n/original/mnFJnr.png	(from https://pastaghigame.com/)
21:48:33	448499/448499	---M--	200	added ('OK')	image/png	etag:%22624b432b-6d7f3%22	https://pastaghigame.com/img.itch.zone/aW1nLzc2OTA5MjIucG5n/original/uOYnpx.png	C:/Benim%20Web%20Sitem/sa/pastaghigame.com/img.itch.zone/aW1nLzc2OTA5MjIucG5n/original/uOYnpx.png	(from https://pastaghigame.com/)
21:48:33	72393/72393	---M--	200	added ('OK')	image/png	etag:%22624b432b-11ac9%22	https://pastaghigame.com/img.itch.zone/aW1nLzc2OTE3MzIucG5n/original/W/Bfma.png	C:/Benim%20Web%20Sitem/sa/pastaghigame.com/img.itch.zone/aW1nLzc2OTE3MzIucG5n/original/W/Bfma.png	(from https://pastaghigame.com/)
21:48:33	251/251	---M--	200	added ('OK')	image/png	etag:%22624b432b-fb%22	https://pastaghigame.com/img.itch.zone/aW1nLzc2OTE5OTkucG5n/original/XALodr.png	C:/Benim%20Web%20Sitem/sa/pastaghigame.com/img.itch.zone/aW1nLzc2OTE5OTkucG5n/original/XALodr.png	(from https://pastaghigame.com/)
21:48:34	9805/9805	---M--	200	added ('OK')	image/png	etag:%22624b432b-264d%22	https://pastaghigame.com/img.itch.zone/aW1nLzc2OTA5OTUucG5n/original/TV8Nq3.png	C:/Benim%20Web%20Sitem/sa/pastaghigame.com/img.itch.zone/aW1nLzc2OTA5OTUucG5n/original/TV8Nq3.png	(from https://pastaghigame.com/)
21:48:34	46769/46769	---M--	200	added ('OK')	image/png	etag:%22624b432b-b6b1%22	https://pastaghigame.com/img.itch.zone/aW1nLzc2OTE3MzMucG5n/original/AFGPK5.png	C:/Benim%20Web%20Sitem/sa/pastaghigame.com/img.itch.zone/aW1nLzc2OTE3MzMucG5n/original/AFGPK5.png	(from https://pastaghigame.com/)
21:48:34	251/251	---M--	200	added ('OK')	image/png	etag:%22624b432b-fb%22	https://pastaghigame.com/img.itch.zone/aW1nLzc2OTIwMDEucG5n/original/71v3Ch.png	C:/Benim%20Web%20Sitem/sa/pastaghigame.com/img.itch.zone/aW1nLzc2OTIwMDEucG5n/original/71v3Ch.png	(from https://pastaghigame.com/)
